설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
수영구청,민원실,부산광역시,수영구,관공서,KT,Public WiFi,12-Oct,부산광역시 수영구 남천동로 100,부산광역시 수영구 남천동 148-15,부산광역시,051-888-4604,35.1454212,129.1130256,2018-08-24
누림터,누림터,부산광역시,연제구,서민·복지시설,KT,Public WiFi,13-Oct,부산광역시 연제구 중앙대로 1075번길 42,부산광역시 연제구 연산동 1289-2,부산광역시,051-888-4604,35.1853437,129.0780885,2018-08-24
수영구자원봉사센터,센터,부산광역시,수영구,서민·복지시설,SKT,Public WiFi,15-Oct,부산광역시 수영구 수영로 614,부산광역시 수영구 광안동 118-3,부산광역시,051-888-4604,35.1605402,129.1139829,2018-08-24
수영구보건소,민원실,부산광역시,수영구,서민·복지시설,LGU+,Public WiFi,14-Oct,부산광역시 수영구 수영로 637-5 (광안동),부산광역시 수영구 광안동 661-1,부산광역시,051-888-4604,35.162652,129.113443,2018-08-24
수영구도서관,도서관,부산광역시,수영구,지역문화시설,SKT,Public WiFi,15-Oct,부산광역시 수영구 남천서로 33,부산광역시 수영구 남천동 489-33번지,부산광역시,051-888-4604,35.1444574,129.1052375,2018-08-24
수영구노인복지관,복지관,부산광역시,수영구,서민·복지시설,LGU+,Public WiFi,12-Oct,부산광역시 수영구 황령대로489번길 83,부산광역시 수영구 남천동 552,부산광역시,051-888-4604,35.140081,129.111188,2018-08-24
수영구 드림스타트센터,센터,부산광역시,수영구,서민·복지시설,LGU+,Public WiFi,14-Oct,부산광역시 수영구 수미로 53,부산광역시 수영구 망미동 250-17,부산광역시,051-888-4604,35.173467,129.116564,2018-08-24
수영구 구민정보화교육장,교육장,부산광역시,수영구,지역문화시설,KT,Public WiFi,15-Oct,부산광역시 수영구 연수로275번길 30,부산광역시 수영구 망미동 826-54,부산광역시,051-888-4604,35.1745166,129.1010649,2018-08-24
부산시민천문대,천문대,부산광역시,수영구,관광,SKT,Public WiFi,13-Oct,부산광역시 수영구 황령산로 156,부산광역시 수영구 광안4동 산60-3,부산광역시,051-888-4604,35.155155,129.100569,2018-08-24
민락어패류시장,시장,부산광역시,수영구,편의시설,SKT,Public WiFi,15-Oct,부산광역시 수영구 광안해변로 278,부산광역시 수영구 민락동 181-8번지,부산광역시,051-888-4604,35.1556748,129.1244434,2018-08-24
민락씨랜드회센터,회센터,부산광역시,수영구,편의시설,SKT,Public WiFi,15-Oct,부산광역시 수영구 광안해변로 299 (민락동),부산광역시 수영구 민락동 181-228,부산광역시,051-888-4604,35.1568496,129.1261023,2018-08-24
민락동주민센터,민원실,부산광역시,수영구,관공서,SKT,Public WiFi,15-Oct,부산광역시 수영구 광안해변로295번길 20,부산광역시 수영구 민락동 34-10,부산광역시,051-888-4604,35.1572836,129.1254025,2018-08-24
농협 해운대중동지점,민원실,부산광역시,해운대구,기타,SKT,Public WiFi,16-Oct,부산광역시 해운대구 구남로 23,부산광역시 해운대구 중동 1383-9,부산광역시,051-888-4604,35.162045,129.160509,2018-08-24
부산재송동우체국,민원실,부산광역시,해운대구,기타,KT,Public WiFi,16-Oct,부산광역시 해운대구 재반로 121-1,부산광역시 해운대구 재송동 1058-18,부산광역시,051-888-4604,35.189303,129.126437,2018-08-24
해운대우체국,민원실,부산광역시,해운대구,기타,KT,Public WiFi,07-Oct,부산광역시 해운대구 양운로 87,부산광역시 해운대구 좌동 1458-3,부산광역시,051-888-4604,35.170638,129.174451,2018-08-24
부산우1동우체국,민원실,부산광역시,해운대구,기타,KT,Public WiFi,07-Oct,부산광역시 해운대구 중동1로 11,부산광역시 해운대구 우동 601-6,부산광역시,051-888-4604,35.163961,129.161174,2018-08-24
부산반여3동우체국,민원실,부산광역시,해운대구,기타,KT,Public WiFi,16-Oct,부산광역시 해운대구 재반로 267,부산광역시 해운대구 반여동 1603-1,부산광역시,051-888-4604,35.201122,129.131511,2018-08-24
누리마루Apec하우스,누리마루,부산광역시,해운대구,관광,KT,Public WiFi,16-Oct,부산광역시 해운대구 동백로 116 누리마루APEC하우스,부산광역시 해운대구 우동 714-1,부산광역시,051-888-4604,35.152385,129.151302,2018-08-24
고은사진미술관(중1동),미술관,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,16-Oct,부산광역시 해운대구 해운대로452번길 16,부산광역시 해운대구 우동 1005-17,부산광역시,051-888-4604,35.163275,129.141214,2018-08-24
해운대청소년 수련원,수련원,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,15-Oct,부산광역시 해운대구 광어골로82번길 25,부산광역시 해운대구 송정동 775-2,부산광역시,051-888-4604,35.1738065,129.1953348,2018-08-24
해운대은혜의집,은혜의집,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,15-Oct,부산광역시 해운대구 해운대로295번길 16,부산광역시 해운대구 우동 1201,부산광역시,051-888-4604,35.174262,129.1327413,2018-08-24
해운대역,역사,부산광역시,해운대구,교통시설,LGU+,Public WiFi,13-Oct,부산광역시 해운대구 해운대로 612,부산광역시 해운대구 우1동 539,부산광역시,051-888-4604,35.163651,129.158897,2018-08-24
해운대복지관,복지관,부산광역시,해운대구,서민·복지시설,LGU+,Public WiFi,13-Oct,부산광역시 해운대구 재반로 12번길 16,부산광역시 해운대구 재송1동 100-9,부산광역시,051-888-4604,35.1799103,129.1278193,2018-08-24
해운대구청소년문화의집,문화의집,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,15-Oct,부산광역시 해운대구 신반송로 173,부산광역시 해운대구 반송동 890,부산광역시,051-888-4604,35.2287844,129.1603893,2018-08-24
해운대구청,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,15-Oct,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,부산광역시,051-888-4604,35.1629742,129.1637253,2018-08-24
해운대구 문화복합센터,센터,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,15-Oct,부산광역시 해운대구 센텀중앙로 170,부산광역시 해운대구 재송동 1192,부산광역시,051-888-4604,35.1820967,129.1215484,2018-08-24
해운대 임해행정봉사실,봉사실,부산광역시,해운대구,관공서,LGU+,Public WiFi,12-Oct,부산광역시 해운대구 중1동 1415,부산광역시 해운대구 중1동 1415,부산광역시,051-888-4604,35.159181,129.160948,2018-08-24
해운대 보건소,민원실,부산광역시,해운대구,서민·복지시설,KT,Public WiFi,14-Oct,부산광역시 해운대구 양운로37번길 59　,부산광역시 해운대구 좌동 1339,부산광역시,051-888-4604,35.164085,129.178649,2018-08-24
해운대동백섬,동백섬등대광장,부산광역시,해운대구,관광,KT,Public WiFi,16-Oct,부산광역시 해운대구 우동 710-1,부산광역시 해운대구 우동 710-1,부산광역시,051-888-4604,35.152417,129.152543,2018-08-24
연산5동주민센터,민원실,부산광역시,연제구,관공서,KT,Public WiFi,14-Oct,부산광역시 연제구 거제천로 124번길 15,부산광역시 연제구 연산동 1478-1,부산광역시,051-888-4604,35.187117,129.070555,2018-08-24
새생명지역아동센터,센터,부산광역시,부산진구,서민·복지시설,SKT,Public WiFi,13-Oct,부산광역시 부산진구 신암로 51-5,부산광역시 부산진구 범천2동 1284-50,부산광역시,051-888-4604,35.146343,129.055309,2018-08-24
한울타리지역아동센터,센터,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 서전로47번길 48,부산광역시 부산진구 전포2동 638-7번지,부산광역시,051-888-4604,35.1599808,129.0649268,2018-08-24
평강지역아동센터,센터,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 중앙대로 978,부산광역시 부산진구 양정2동 145-3번지,부산광역시,051-888-4604,35.1765337,129.0743937,2018-08-24
축복지역아동센터,센터,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 당감서로98번길 20-22,부산광역시 부산진구 부암3동 506-1번지,부산광역시,051-888-4604,35.1687073,129.0366357,2018-08-24
초읍동주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,15-Oct,부산광역시 부산진구 새싹로 253,부산광역시 부산진구 초읍동 278-8,부산광역시,051-888-4604,35.1787168,129.0475759,2018-08-24
전포지역아동센터,센터,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 서전로58번길 16,부산광역시 부산진구 전포1동 207-75번지,부산광역시,051-888-4604,35.1570828,129.0659728,2018-08-24
전포사회복지관,복지관,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,12-Oct,부산광역시 부산진구 전포대로190번길 35,부산광역시 부산진구 전포1동 343-5,부산광역시,051-888-4604,35.153656,129.067529,2018-08-24
전포2동주민센터,민원실,부산광역시,부산진구,관공서,KT,Public WiFi,15-Oct,부산광역시 부산진구 동성로118번길 34,부산광역시 부산진구 전포동 175-26,부산광역시,051-888-4604,35.1616893,129.066199,2018-08-24
구포역,역사,부산광역시,북구,교통시설,SKT,Public WiFi,12-Oct,부산광역시 북구 구포만세길 82,부산광역시 북구 구포동 1060-470,부산광역시,051-888-4604,35.205444,128.997121,2018-08-24
구포시장 상인회,상인회,부산광역시,북구,서민·복지시설,SKT,Public WiFi,15-Oct,부산광역시 북구 구포시장길 9,부산광역시 북구 구포1동 599-18,부산광역시,051-888-4604,35.2089473,129.003519,2018-08-24
구포3동 주민센터,민원실,부산광역시,북구,관공서,KT,Public WiFi,14-Oct,부산광역시 북구 시랑로118번길 23 (구포동),부산광역시 북구 구포동 1252-1,부산광역시,051-888-4604,35.1949272,129.0087627,2018-08-24
구포2동 주민센터,민원실,부산광역시,북구,관공서,LGU+,Public WiFi,15-Oct,부산광역시 북구 낙동북로663번길 23,부산광역시 북구 구포동 1030-68,부산광역시,051-888-4604,35.2027019,128.9979725,2018-08-24
구포2동 주민센터,민원실,부산광역시,북구,관공서,SKT,Public WiFi,12-Oct,부산광역시 북구 낙동북로663번길 23,부산광역시 북구 구포2동 1030-68,부산광역시,051-888-4604,35.2026984,128.9979667,2018-08-24
구포1동 주민센터,민원실,부산광역시,북구,관공서,KT,Public WiFi,14-Oct,부산광역시 북구 낙동대로1762번길 75,부산광역시 북구 구포동 430-1,부산광역시,051-888-4604,35.2064317,129.0011428,2018-08-24
공창종합사회복지관,복지관,부산광역시,북구,서민·복지시설,KT,Public WiFi,13-Oct,부산광역시 북구 효열로 268,부산광역시 북구 금곡동 53-1,부산광역시,051-888-4604,35.2678405,129.0194015,2018-08-24
1318 미래세대지역아동센터,센터,부산광역시,북구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 북구 만덕대로65번길 49,부산광역시 북구 덕천동 321-13,부산광역시,051-888-4604,35.2139907,129.0110967,2018-08-24
북구문화빙상센터,센터,부산광역시,북구,지역문화시설,부산광역시,Dynamic Busan,09-Mar,부산광역시 북구 금곡대로46번길 50,부산광역시 북구 덕천동 434,부산광역시,051-888-4604,35.1971413,128.9901072,2018-08-24
부산어린이대공원,공원,부산광역시,부산진구,지역문화시설,KT,Public WiFi,16-Oct,부산광역시 부산진구 새싹로 295,부산광역시 부산진구 초읍동 43,부산광역시,051-888-4604,35.184631,129.043471,2018-08-24
양정2동주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,16-Oct,부산광역시 부산진구 양정로15번길 26,부산광역시 부산진구 양정동 52-2,부산광역시,051-888-4604,35.172859,129.075748,2018-08-24
삼성전자서비스(주) 서면,매장,부산광역시,부산진구,기타,LGU+,Public WiFi,16-Oct,부산광역시 부산진구 신천대로 222,부산광역시 부산진구 부암동 123-1,부산광역시,051-888-4604,35.162164,129.051423,2018-08-24
부산시민공원 역사관,역사관,부산광역시,부산진구,지역문화시설,LGU+,Public WiFi,16-Oct,부산광역시 부산진구 시민공원로 73,부산광역시 부산진구 범전동 195,부산광역시,051-888-4604,35.167101,129.054661,2018-08-24
부산광역시립 시민도서관,도서관,부산광역시,부산진구,지역문화시설,KT,Public WiFi,16-Oct,부산광역시 부산진구 월드컵대로 462,부산광역시 부산진구 초읍동 산 51-6,부산광역시,051-888-4604,35.183522,129.050224,2018-08-24
부산백병원,병원,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,16-Oct,부산광역시 부산진구 복지로 75,부산광역시 부산진구 개금동 633-165,부산광역시,051-888-4604,35.146138,129.020875,2018-08-24
부산 CBS,CBS,부산광역시,부산진구,기타,LGU+,Public WiFi,16-Oct,부산광역시 부산진구 신암로 141,부산광역시 부산진구 범천동 1155-2,부산광역시,051-888-4604,35.152992,129.049312,2018-08-24
동의의료원,의료원,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,16-Oct,부산광역시 부산진구 양정로 62,부산광역시 부산진구 양정동 산 45-1,부산광역시,051-888-4604,35.169764,129.076783,2018-08-24
서면역1호선,역사,부산광역시,부산진구,교통시설,LGU+,Public WiFi,16-Oct,부산광역시 부산진구 중앙대로 730,부산광역시 부산진구 부전동 573-1,부산광역시,051-888-4604,35.156922,129.059125,2018-08-24
희연요양병원,병원,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,14-Oct,부산광역시 부산진구 개금1동 496-18,부산광역시 부산진구 개금1동 496-18,부산광역시,051-888-4604,35.1519863,129.0177297,2018-08-24
육아종합지원센터,센터,부산광역시,부산진구,서민·복지시설,KT,Public WiFi,15-Oct,부산광역시 부산진구 가야대로587번길 21-21,부산광역시 부산진구 가야동 258-2,부산광역시,051-888-4604,35.1549123,129.0359933,2018-08-24
연지동주민센터 작은도서관,도서관,부산광역시,부산진구,지역문화시설,SKT,Public WiFi,15-Oct,부산광역시 부산진구 국악로 30,부산광역시 부산진구 연지동 238-9,부산광역시,051-888-4604,35.172799,129.052836,2018-08-24
연지동주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,14-Oct,부산광역시 부산진구 국악로 30,부산광역시 부산진구 연지동 238-9번지,부산광역시,051-888-4604,35.1727868,129.0528236,2018-08-24
에이스지역아동센터,센터,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 가야대로703번나길 23,부산광역시 부산진구 당감2동 93-15번지,부산광역시,051-888-4604,35.1578334,129.0472454,2018-08-24
양정청소년수련관,청소년 문화의집,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 동평로405번길 81,부산광역시 부산진구 양정2동 260-5번지,부산광역시,051-888-4604,35.177257,129.0717253,2018-08-24
양정청소년수련관,수련관,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,13-Oct,부산광역시 부산진구 동평로405번길 85,부산광역시 부산진구 양정동 260-5,부산광역시,051-888-4604,35.1772767,129.0717285,2018-08-24
양정1동 주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,12-Oct,부산광역시 부산진구 범양로125번길 26,부산광역시 부산진구 양정동 507-7,부산광역시,051-888-4604,35.172662,129.073175,2018-08-24
아순타의 집,아순타의집,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 개금본동로17번길 12,부산광역시 부산진구 개금3동 24-36번지,부산광역시,051-888-4604,35.1586973,129.0241575,2018-08-24
신애지역아동센터,센터,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 백양순환로 137,부산광역시 부산진구 부암3동 410-5번지,부산광역시,051-888-4604,35.168558,129.0410086,2018-08-24
신애재활원,재활원,부산광역시,부산진구,서민·복지시설,KT,Public WiFi,13-Oct,부산광역시 부산진구 성지로62번길 40,부산광역시 부산진구 초읍동 525-1,부산광역시,051-888-4604,35.177394,129.0559943,2018-08-24
성지지역아동센터,센터,부산광역시,부산진구,서민·복지시설,KT,Public WiFi,13-Oct,부산광역시 부산진구 동평로94번길 28,부산광역시 부산진구 당감동 275-26,부산광역시,051-888-4604,35.1643241,129.0401921,2018-08-24
새생명지역아동센터,센터,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 신암로 51-5,부산광역시 부산진구 범천2동 1284-50번지,부산광역시,051-888-4604,35.146346,129.0552959,2018-08-24
사랑빛지역아동센터,센터,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 백양관문로77번길 99,부산광역시 부산진구 개금동 1-8,부산광역시,051-888-4604,35.1623986,129.025711,2018-08-24
부전전자종합시장,시장,부산광역시,부산진구,편의시설,SKT,Public WiFi,15-Oct,부산광역시 부산진구 중앙대로 803,부산광역시 부산진구 부전동 20-1,부산광역시,051-888-4604,35.1635842,129.063306,2018-08-24
부전마켓타운,타운,부산광역시,부산진구,서민·복지시설,SKT,Public WiFi,13-Oct,부산광역시 부산진구 중앙대로 755번길 21,부산광역시 부산진구 부전동 573-3 일대,부산광역시,051-888-4604,35.1633578,129.0610234,2018-08-24
부전2동 주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,15-Oct,부산광역시 부산진구 부전로20번길 13,부산광역시 부산진구 부전동 523-6,부산광역시,051-888-4604,35.1526035,129.056792,2018-08-24
부암역,역사,부산광역시,부산진구,교통시설,LGU+,Public WiFi,13-Oct,부산광역시 부산진구 가야대로 729,부산광역시 부산진구 부암1동 707,부산광역시,051-888-4604,35.1579105,129.0514241,2018-08-24
부암1동주민센터,민원실,부산광역시,부산진구,관공서,KT,Public WiFi,15-Oct,부산광역시 부산진구 신천대로241번길 41,부산광역시 부산진구 부암동 226,부산광역시,051-888-4604,35.1633084,129.0485503,2018-08-24
부산진우체국,민원실,부산광역시,부산진구,관공서,KT,Public WiFi,13-Oct,부산광역시 부산진구 가야대로 579,부산광역시 부산진구 가야3동 256-7,부산광역시,051-888-4604,35.1549967,129.0353856,2018-08-24
부산진구청,민원실,부산광역시,부산진구,관공서,KT,Public WiFi,13-Oct,부산광역시 부산진구 시민공원로 30,부산광역시 부산진구 부암동 666-16,부산광역시,051-888-4604,35.1628868,129.0531778,2018-08-24
부산진구종합사회복지관,복지관,부산광역시,부산진구,서민·복지시설,KT,Public WiFi,15-Oct,부산광역시 부산진구 복지로 117-12,부산광역시 부산진구 개금동 산57-9,부산광역시,051-888-4604,35.1426631,129.0196571,2018-08-24
부산진구장애인복지관,복지관,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 전포대로300번길 6,부산광역시 부산진구 전포2동 581번지,부산광역시,051-888-4604,35.1640492,129.0658461,2018-08-24
부산진구다문화가족지원센터,센터,부산광역시,부산진구,서민·복지시설,KT,Public WiFi,15-Oct,부산광역시 부산진구 백양대로 160,부산광역시 부산진구 당감동 516-8,부산광역시,051-888-4604,35.1595497,129.0326632,2018-08-24
부산진구 청소년문화의집,문화의집,부산광역시,부산진구,서민·복지시설,KT,Public WiFi,15-Oct,부산광역시 부산진구 진남로328번길 62,부산광역시 부산진구 전포동 326-10,부산광역시,051-888-4604,35.1552996,129.0747629,2018-08-24
전포1동주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,15-Oct,부산광역시 부산진구 서전로58번길 143,부산광역시 부산진구 전포동 363-63,부산광역시,051-888-4604,35.1513072,129.0664499,2018-08-24
이신호뷰티건물,건물,부산광역시,부산진구,기타,LGU+,Public WiFi,13-Oct,부산광역시 부산진구 서면로 52,부산광역시 부산진구 부전2동 242-20,부산광역시,051-888-4604,35.1552707,129.0580386,2018-08-24
부산진구 보건소,민원실,부산광역시,부산진구,서민·복지시설,KT,Public WiFi,15-Oct,부산광역시 부산진구 황령대로8번길 36,부산광역시 부산진구 범천동 849-10,부산광역시,051-888-4604,35.1461958,129.0598958,2018-08-24
범전동주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,14-Oct,부산광역시 부산진구 범양로 6,부산광역시 부산진구 범전동 329-15번지,부산광역시,051-888-4604,35.1658378,129.0612029,2018-08-24
대한적십자 부전점,민원실,부산광역시,부산진구,관공서,KT,Public WiFi,12-Oct,부산광역시 부산진구 중앙대로702번길 50,부산광역시 부산진구 부전2동 169-2,부산광역시,051-888-4604,35.1552338,129.0618677,2018-08-24
당평비전지역청소년센터,센터,부산광역시,부산진구,서민·복지시설,KT,Public WiFi,15-Oct,부산광역시 부산진구 백양대로136번길 37-9,부산광역시 부산진구 당감동 516-3,부산광역시,051-888-4604,35.161891,129.033257,2018-08-24
당감종합사회복지관,복지관,부산광역시,부산진구,서민·복지시설,KT,Public WiFi,15-Oct,부산광역시 부산진구 당감서로 16,부산광역시 부산진구 당감동 818-220,부산광역시,051-888-4604,35.1622517,129.0366152,2018-08-24
당감4동주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,14-Oct,부산광역시 부산진구 당감서로 85,부산광역시 부산진구 당감동 751-3번지,부산광역시,051-888-4604,35.1679325,129.036497,2018-08-24
당감2동주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,14-Oct,부산광역시 부산진구 가야대로703번길 13,부산광역시 부산진구 당감동 71-7번지,부산광역시,051-888-4604,35.1578483,129.0479515,2018-08-24
당감1동주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,14-Oct,부산광역시 부산진구 당감로10번길 3,부산광역시 부산진구 당감동 375-1번지,부산광역시,051-888-4604,35.1644603,129.0356527,2018-08-24
당감1동 행복마을센터,센터,부산광역시,부산진구,지역문화시설,SKT,Public WiFi,15-Oct,부산광역시 부산진구 당감로10번길 3,부산광역시 부산진구 당감동 252-104,부산광역시,051-888-4604,35.1627354,129.0400027,2018-08-24
당감1동 작은도서관,도서관,부산광역시,부산진구,지역문화시설,SKT,Public WiFi,15-Oct,부산광역시 부산진구 동평로44번길 49-6,부산광역시 부산진구 당감동 375-1,부산광역시,051-888-4604,35.1644597,129.0356431,2018-08-24
다사랑복합문화예술회관,회관,부산광역시,부산진구,지역문화시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 대학로 60,부산광역시 부산진구 가야1동 433-1번지,부산광역시,051-888-4604,35.1503499,129.0346375,2018-08-24
근로복지공단(부전),공단,부산광역시,부산진구,관공서,LGU+,Public WiFi,12-Oct,부산광역시 부산진구 중앙대로 766,부산광역시 부산진구 부전1동 91-5,부산광역시,051-888-4604,35.1602314,129.0617925,2018-08-24
개금시장,시장,부산광역시,부산진구,서민·복지시설,KT,Public WiFi,14-Oct,부산광역시 부산진구 냉정로 227-1,부산광역시 부산진구 개금동 549-13,부산광역시,051-888-4604,35.1536815,129.0267564,2018-08-24
개금사회복지관,복지관,부산광역시,부산진구,서민·복지시설,KT,Public WiFi,15-Oct,부산광역시 부산진구 백양관문로77번길 140,부산광역시 부산진구 개금동 1-1,부산광역시,051-888-4604,35.1617713,129.0224823,2018-08-24
개금3동주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,14-Oct,부산광역시 부산진구 개금본동로 88,부산광역시 부산진구 개금동 428-8번지,부산광역시,051-888-4604,35.1557519,129.0220242,2018-08-24
개금2동주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,14-Oct,부산광역시 부산진구 복지로 93,부산광역시 부산진구 개금동 633-5번지,부산광역시,051-888-4604,35.1449231,129.0195062,2018-08-24
개금2동 행복마을센터,센터,부산광역시,부산진구,지역문화시설,SKT,Public WiFi,15-Oct,부산광역시 부산진구 진사로83번길 21,부산광역시 부산진구 개금동 633-35,부산광역시,051-888-4604,35.1442072,129.0171982,2018-08-24
부산진구 노인복지관,복지관,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 전포대로300번길 6,부산광역시 부산진구 전포2동 581번지,부산광역시,051-888-4604,35.1640492,129.0658461,2018-08-24
부산진구 건강증진센터,"2,3층",부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 시민공원로 30,부산광역시 부산진구 부암1동 666-16번지,부산광역시,051-888-4604,35.1628733,129.0531703,2018-08-24
부산데프주간보호센터,센터,부산광역시,부산진구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 부산진구 새싹로52번길 39,부산광역시 부산진구 부전1동 346-89번지,부산광역시,051-888-4604,35.162382,129.0579073,2018-08-24
부산교육청 궁리마루,옥외,부산광역시,부산진구,관공서,SKT,Public WiFi,13-Oct,부산광역시 부산진구 전포대로209번길 26,부산광역시 부산진구 전포1동 682,부산광역시,051-888-4604,35.1559524,129.0631424,2018-08-24
부산 상공회의소,민원실,부산광역시,부산진구,관공서,LGU+,Public WiFi,12-Oct,부산광역시 부산진구 황령대로 24,부산광역시 부산진구 범천1동 853-1,부산광역시,051-888-4604,35.1477079,129.0621565,2018-08-24
범천2동주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,14-Oct,부산광역시 부산진구 신암로 48,부산광역시 부산진구 범천2동 1258-82번지,부산광역시,051-888-4604,35.1469657,129.0556587,2018-08-24
범천2동작은도서관,도서관,부산광역시,부산진구,지역문화시설,SKT,Public WiFi,15-Oct,부산광역시 부산진구 신암로 48,부산광역시 부산진구 범천동 960-1,부산광역시,051-888-4604,35.1465036,129.0562039,2018-08-24
범천1동 주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,12-Oct,부산광역시 부산진구 범일로192번길 21,부산광역시 부산진구 범천동 854-15,부산광역시,051-888-4604,35.142288,129.060661,2018-08-24
범전문화센터,센터,부산광역시,부산진구,서민·복지시설,SKT,Public WiFi,15-Oct,부산광역시 부산진구 범양로 6,부산광역시 부산진구 범전동 43-4,부산광역시,051-888-4604,35.1661431,129.0620582,2018-08-24
가야2동주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,14-Oct,부산광역시 부산진구 가야공원로40번길 14,부산광역시 부산진구 가야동 601-7번지,부산광역시,051-888-4604,35.1497583,129.0290073,2018-08-24
가야1동주민센터,민원실,부산광역시,부산진구,관공서,SKT,Public WiFi,14-Oct,부산광역시 부산진구 가야대로572번길 22,부산광역시 부산진구 가야동 296-1번지,부산광역시,051-888-4604,35.1532736,129.0342963,2018-08-24
(사)부산평화시장,시장,부산광역시,부산진구,서민·복지시설,SKT,Public WiFi,14-Oct,부산광역시 부산진구 자유평화로 7,부산광역시 부산진구 범천동 839-212번지,부산광역시,051-888-4604,35.1414964,129.0606529,2018-08-24
어린이대공원,학생교육문화회관,부산광역시,부산진구,지역문화시설,부산광역시,Dynamic Busan,09-Mar,부산광역시 부산진구 성지곡로 15,부산광역시 부산진구 초읍동 43-1,부산광역시,051-888-4604,35.183919,129.046302,2018-08-24
서면,롯데백화점건너편정류장,부산광역시,부산진구,기타,부산광역시,Dynamic Busan,16-Oct,부산광역시 부산진구 부전동 485-8,부산광역시 부산진구 부전동 485-8,부산광역시,051-888-4604,35.157742,129.055636,2018-08-24
서면,지하철5번출구앞,부산광역시,부산진구,기타,부산광역시,Dynamic Busan,16-Oct,부산광역시 부산진구 부전2동 257-65,부산광역시 부산진구 부전2동 257-65,부산광역시,051-888-4604,35.157569,129.058402,2018-08-24
동래우체국,민원실,부산광역시,동래구,관공서,KT,Public WiFi,16-Oct,부산광역시 동래구 명륜로 169,부산광역시 동래구 명륜동 638-13,부산광역시,051-888-4604,35.208968,129.081971,2018-08-24
삼성전자서비스(주) 동래,매장,부산광역시,동래구,기타,LGU+,Public WiFi,16-Oct,부산광역시 동래구 중앙대로 1267,부산광역시 동래구 사직동 145-6,부산광역시,051-888-4604,35.200353,129.077169,2018-08-24
동래시외버스터미널,터미널,부산광역시,동래구,교통시설,SKT,Public WiFi,16-Oct,부산광역시 동래구 중앙대로1325번길 24,부산광역시 동래구 온천동 1437-40,부산광역시,051-888-4604,35.205781,129.076744,2018-08-24
